accession	protein_name	gene_names	reviewed	length	go	subcellular_location	keywords	ec
A0A0H3GPJ2	RmbA	KPHS_13690	unreviewed	205	DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]		DNA-binding;Reference proteome	
A0A0H3GQT3	Transport protein	KPHS_17530	unreviewed	468	plasma membrane [GO:0005886]; monoatomic cation transmembrane transporter activity [GO:0008324]; potassium ion transport [GO:0006813]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	
A0A0H3GTL5	Uncharacterized protein	KPHS_46670	unreviewed	55			Reference proteome	
A0A0H3GUY1	Cold shock-like protein CspD	KPHS_17910	unreviewed	73	cytosol [GO:0005829]; DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|RuleBase:RU000408}.	Cytoplasm;DNA-binding;Reference proteome	
A0A0H3GWG4	DNA-binding transcriptional regulator EnvR	KPHS_48250	unreviewed	216	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]; response to xenobiotic stimulus [GO:0009410]		DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3GX13	Universal stress protein	KPHS_50150	unreviewed	145	cytoplasm [GO:0005737]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|PIRNR:PIRNR006276}.	Cytoplasm;Reference proteome	
A0A0H3GYN7	Dipeptide transporter ATP-binding subunit	KPHS_50540	unreviewed	337	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; dipeptide transmembrane transporter activity [GO:0071916]		ATP-binding;Nucleotide-binding;Reference proteome;Transport	
A0A0H3GZE1	TetR-family trancriptional regulatory protein	KPHS_31360	unreviewed	178	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GZZ9	Transmembrane protein	KPHS_33460	unreviewed	515	plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	CBS domain;Cell membrane;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix	
A0A0H3GGS9	Sorbose permease IID component	KPHS_02370	unreviewed	274	plasma membrane [GO:0005886]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	
A0A0H3GHF5	Sugar ABC transporter membrane protein	KPHS_04670	unreviewed	341	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GHK7	ABC transporter, periplasmic substrate-binding protein	KPHS_05320	unreviewed	436	outer membrane-bounded periplasmic space [GO:0030288]	SUBCELLULAR LOCATION: Periplasm {ECO:0000256|ARBA:ARBA00004418}.	Reference proteome;Signal	
A0A0H3GIA1	Pyruvate dehydrogenase complex repressor	KPHS_08370	unreviewed	259	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3GJP6	LacI-family bacterial regulatory protein	KPHS_13720	unreviewed	326	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GKW2	GTPase	KPHS_13300	unreviewed	114			Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GNN9	Lipoprotein	KPHS_09440	unreviewed	271	plasma membrane [GO:0005886]; methionine transport [GO:0015821]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004193}; Lipid-anchor {ECO:0000256|ARBA:ARBA00004193}.	Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal	
A0A0H3GNX4	ABC transporter substrate binding protein	KPHS_28570	unreviewed	322	outer membrane-bounded periplasmic space [GO:0030288]; metal ion binding [GO:0046872]; thiamine binding [GO:0030975]; thiamine pyrophosphate binding [GO:0030976]; thiamine transport [GO:0015888]		Iron;Metal-binding;Reference proteome;Signal	
A0A0H3GQY3	LysR family transcriptional regulator	KPHS_30300	unreviewed	296	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GWQ2	Hydrogenase maturation factor HybG	KPHS_41390	unreviewed	90	carbon dioxide binding [GO:1902670]; iron ion binding [GO:0005506]; protein maturation [GO:0051604]		Reference proteome	
A0A0H3GXZ3	DEOR-type transcriptional regulator	KPHS_46890	unreviewed	257	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3H3T2	Transmembrane protein affecting septum formation and cell membrane permeability	KPHS_48260	unreviewed	379	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; response to antibiotic [GO:0046677]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004519}; Lipid-anchor {ECO:0000256|ARBA:ARBA00004519}.	Membrane;Reference proteome;Transmembrane	
A0A0H3GIJ9	Ribose high-affinity ABC transporter permease component	KPHS_06000	unreviewed	318	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GIY0	Taurine dioxygenase	KPHS_10520	unreviewed	283	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; taurine dioxygenase activity [GO:0000908]; sulfur compound metabolic process [GO:0006790]		Dioxygenase;Iron;Metal-binding;Oxidoreductase;Reference proteome	
A0A0H3GJT0	ABC transport system permease component	KPHS_14120	unreviewed	340	plasma membrane [GO:0005886]; dipeptide transmembrane transporter activity [GO:0071916]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GK06	Lipoprotein ybfN	KPHS_15370	unreviewed	110			Reference proteome	
A0A0H3GK59	Cysteine transport system periplasmic binding component	KPHS_10350	unreviewed	269	extracellular region [GO:0005576]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; ligand-gated monoatomic ion channel activity [GO:0015276]; amino acid transport [GO:0006865]		Reference proteome;Signal;Transport	
A0A0H3GRJ9	Permease	KPHS_38870	unreviewed	353	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GS62	Regulatory protein MarR	KPHS_23890	unreviewed	143	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GSD2	YqcC-like domain-containing protein	KPHS_42120	unreviewed	109	single-species biofilm formation [GO:0044010]		Reference proteome	
A0A0H3GSK7	Transmembrane protein	KPHS_35750	unreviewed	527	plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	CBS domain;Cell membrane;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix	
A0A0H3GUD1	Death-on-curing protein of phage P1	KPHS_49670	unreviewed	122	kinase activity [GO:0016301]		Reference proteome	
A0A0H3GUD6	PEP-dependent phosphotransferase enzyme III	KPHS_41500	unreviewed	104	metal ion binding [GO:0046872]; transferase activity [GO:0016740]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]		Magnesium;Metal-binding;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport	
A0A0H3GUE6	Small toxic membrane polypeptide	KPHS_41700	unreviewed	50	plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004377, ECO:0000256|RuleBase:RU221113}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004377, ECO:0000256|RuleBase:RU221113}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Toxin-antitoxin system;Transmembrane;Transmembrane helix	
A0A0H3GUR4	HTH-type transcriptional regulator KdgR	KPHS_33590	unreviewed	263	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Cytoplasm;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3GZC2	Protein SlyX	slyX KPHS_48830	unreviewed	72			Coiled coil;Reference proteome	
A0A0H3GGC8	Bifunctional aspartokinase/homoserine dehydrogenase [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	KPHS_00870	unreviewed	810	aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]		Amino-acid biosynthesis;ATP-binding;Kinase;Lysine biosynthesis;Metal-binding;Methionine biosynthesis;Multifunctional enzyme;NAD;NADP;Nucleotide-binding;Oxidoreductase;Reference proteome;Sodium;Threonine biosynthesis;Transferase	1.1.1.3; 2.7.2.4
A0A0H3GTZ8	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC)	tsaC KPHS_48320	unreviewed	190	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; L-threonylcarbamoyladenylate synthase [GO:0061710]; tRNA binding [GO:0000049]; regulation of translational fidelity [GO:0006450]; tRNA threonylcarbamoyladenosine modification [GO:0002949]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_01852}.	ATP-binding;Cytoplasm;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase;tRNA processing	2.7.7.87
A0A0H3GUM1	serine-type D-Ala-D-Ala carboxypeptidase (EC 3.4.16.4)	KPHS_17060	unreviewed	400	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; protein homodimerization activity [GO:0042803]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004417}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004417}.	Carboxypeptidase;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Hydrolase;Membrane;Peptidoglycan synthesis;Protease;Reference proteome;Signal	3.4.16.4
A0A0H3GXA6	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL)	trmL KPHS_51100	unreviewed	157	cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; tRNA (5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase activity [GO:0141102]; tRNA (cytidine(34)-2'-O)-methyltransferase activity [GO:0141098]; wobble position cytosine ribose methylation [GO:0002131]; wobble position uridine ribose methylation [GO:0002132]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01885}.	Cytoplasm;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;tRNA processing	2.1.1.207
A0A0H3GXH1	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	cysI KPHS_41930	unreviewed	570	sulfite reductase complex (NADPH) [GO:0009337]; 4 iron, 4 sulfur cluster binding [GO:0051539]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]; sulfite reductase (ferredoxin) activity [GO:0050311]; sulfite reductase (NADPH) activity [GO:0004783]; cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]		4Fe-4S;Amino-acid biosynthesis;Cysteine biosynthesis;Heme;Iron;Iron-sulfur;Metal-binding;NADP;Oxidoreductase;Reference proteome	1.8.1.2
A0A0H3GV60	Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)	cobS KPHS_35240	unreviewed	246	plasma membrane [GO:0005886]; adenosylcobinamide-GDP ribazoletransferase activity [GO:0051073]; cobalamin 5'-phosphate synthase activity [GO:0008818]; cobalamin biosynthetic process [GO:0009236]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00719}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00719}. Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell inner membrane;Cell membrane;Cobalamin biosynthesis;Magnesium;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix	2.7.8.26
A0A0H3GW20	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk KPHS_38990	unreviewed	686	polyphosphate kinase complex [GO:0009358]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polyphosphate kinase activity [GO:0008976]; polyphosphate biosynthetic process [GO:0006799]		ATP-binding;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase	2.7.4.1
A0A0H3GND7	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	ribA KPHS_21800	unreviewed	200	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; zinc ion binding [GO:0008270]; riboflavin biosynthetic process [GO:0009231]		GTP-binding;Hydrolase;Metal-binding;Nucleotide-binding;Reference proteome;Riboflavin biosynthesis;Zinc	3.5.4.25
A0A0H3GSM9	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	KPHS_11060	unreviewed	367	5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]; diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [GO:0008835]; NADP binding [GO:0050661]; zinc ion binding [GO:0008270]; riboflavin biosynthetic process [GO:0009231]		Hydrolase;Metal-binding;Multifunctional enzyme;NADP;Oxidoreductase;Reference proteome;Riboflavin biosynthesis;Zinc	1.1.1.193; 3.5.4.26
A0A0H3GS37	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (EC 2.5.1.31) (Ditrans,polycis-undecaprenylcistransferase) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)	uppS KPHS_09210	unreviewed	258	cytosol [GO:0005829]; ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific] activity [GO:0008834]; magnesium ion binding [GO:0000287]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; polyprenol biosynthetic process [GO:0016094]; regulation of cell shape [GO:0008360]		Cell shape;Cell wall biogenesis/degradation;Magnesium;Metal-binding;Peptidoglycan synthesis;Reference proteome;Transferase	2.5.1.31
A0A0H3GUG2	Ion-translocating oxidoreductase complex subunit B (EC 7.-.-.-) (Rnf electron transport complex subunit B)	rnfB KPHS_29430	unreviewed	185	plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; electron transport chain [GO:0022900]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00463}.	4Fe-4S;Cell inner membrane;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Reference proteome;Repeat;Translocase;Transport	7.-.-.-
A0A0H3H1U7	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA KPHS_40910	unreviewed	558	cytoplasm [GO:0005737]; 2-isopropylmalate synthase activity [GO:0003852]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; magnesium ion binding [GO:0000287]; L-leucine biosynthetic process [GO:0009098]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00572}.	Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Cytoplasm;Leucine biosynthesis;Magnesium;Metal-binding;Reference proteome;Transferase	2.3.3.13
A0A0H3GVS2	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP KPHS_45900	unreviewed	292	plasma membrane [GO:0005886]; undecaprenyl-diphosphatase activity [GO:0050380]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01006}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01006}. Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Antibiotic resistance;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Hydrolase;Membrane;Peptidoglycan synthesis;Reference proteome;Transmembrane;Transmembrane helix	3.6.1.27
A0A0H3GLD8	Autoinducer 2 import system permease protein LsrD	KPHS_00590	unreviewed	334	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
